group,held_out_templates,held_out_prompts,span_f1_mean,span_f1_std,per_mean,per_std,per_ci95,ac_mean,ac_std,tsr_mean,tsr_std
Direct requests,8,64,0.8976,0.0144,10.5004,0.5362,0.3715,0.9112,0.0104,0.8903,0.0112
Document-oriented,8,64,0.8832,0.0134,10.9070,0.5346,0.3705,0.9007,0.0111,0.8802,0.0092
Retrieval-style,8,64,0.8718,0.0146,11.2244,0.4605,0.3191,0.8893,0.0109,0.8725,0.0069
Tool-oriented agent,8,64,0.8655,0.0156,11.5618,0.5712,0.3958,0.8803,0.0115,0.8606,0.0105
Overall,32,256,0.8795,0.0186,11.0484,0.6401,0.2218,0.8954,0.0158,0.8759,0.0143
