method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
Proposed multimodal mediation,10,valid,2,5,2,3,0,0.0,0.633,9,276.1
Raw OCR text prompt,11,valid,6,0,0,0,6,100.0,1.000,17,726.3
OCR + regex masking,11,valid,6,8,1,7,5,93.3,0.506,17,726.3
OCR + generic de-identification,11,valid,6,8,1,7,5,93.3,0.506,17,726.3
OCR + Presidio receipt de-identification,11,valid,6,11,2,9,4,67.4,0.349,17,726.3
OCR + spaCy receipt de-identification,11,valid,6,14,4,10,2,24.7,0.289,17,726.3
Proposed multimodal mediation,11,valid,6,14,6,8,0,0.0,0.434,17,726.3
Raw OCR text prompt,12,valid,3,0,0,0,3,100.0,1.000,7,353.0
OCR + regex masking,12,valid,3,3,1,2,2,73.9,0.600,7,353.0
OCR + generic de-identification,12,valid,3,3,1,2,2,73.9,0.600,7,353.0
OCR + Presidio receipt de-identification,12,valid,3,5,2,3,1,52.2,0.367,7,353.0
OCR + spaCy receipt de-identification,12,valid,3,6,3,3,0,0.0,0.367,7,353.0
Proposed multimodal mediation,12,valid,3,5,3,2,0,0.0,0.600,7,353.0
Raw OCR text prompt,13,valid,2,0,0,0,2,100.0,1.000,15,443.3
OCR + regex masking,13,valid,2,6,0,6,2,100.0,0.622,15,443.3
OCR + generic de-identification,13,valid,2,6,0,6,2,100.0,0.622,15,443.3
OCR + Presidio receipt de-identification,13,valid,2,7,1,6,1,53.3,0.622,15,443.3
OCR + spaCy receipt de-identification,13,valid,2,13,2,11,0,0.0,0.344,15,443.3
Proposed multimodal mediation,13,valid,2,9,2,7,0,0.0,0.567,15,443.3
Raw OCR text prompt,14,valid,4,0,0,0,4,100.0,1.000,15,360.7
OCR + regex masking,14,valid,4,2,0,2,4,100.0,0.865,15,360.7
OCR + generic de-identification,14,valid,4,2,0,2,4,100.0,0.865,15,360.7
OCR + Presidio receipt de-identification,14,valid,4,7,2,5,2,46.4,0.685,15,360.7
OCR + spaCy receipt de-identification,14,valid,4,7,2,5,2,46.4,0.652,15,360.7
Proposed multimodal mediation,14,valid,4,3,0,3,4,100.0,0.843,15,360.7
Raw OCR text prompt,15,valid,2,0,0,0,2,100.0,1.000,16,436.7
OCR + regex masking,15,valid,2,4,0,4,2,100.0,0.793,16,436.7
OCR + generic de-identification,15,valid,2,5,1,4,1,37.5,0.793,16,436.7
OCR + Presidio receipt de-identification,15,valid,2,8,2,6,0,0.0,0.664,16,436.7
OCR + spaCy receipt de-identification,15,valid,2,12,2,10,0,0.0,0.379,16,436.7
Proposed multimodal mediation,15,valid,2,5,1,4,1,37.5,0.793,16,436.7
Raw OCR text prompt,16,valid,1,0,0,0,1,100.0,1.000,9,2970.7
OCR + regex masking,16,valid,1,4,0,4,1,100.0,0.528,9,2970.7
OCR + generic de-identification,16,valid,1,4,0,4,1,100.0,0.528,9,2970.7
OCR + Presidio receipt de-identification,16,valid,1,4,0,4,1,100.0,0.528,9,2970.7
OCR + spaCy receipt de-identification,16,valid,1,6,1,5,0,0.0,0.434,9,2970.7
Proposed multimodal mediation,16,valid,1,4,0,4,1,100.0,0.528,9,2970.7
Raw OCR text prompt,17,valid,1,0,0,0,1,100.0,1.000,11,255.8
OCR + regex masking,17,valid,1,6,1,5,0,0.0,0.627,11,255.8
OCR + generic de-identification,17,valid,1,6,1,5,0,0.0,0.627,11,255.8
OCR + Presidio receipt de-identification,17,valid,1,6,1,5,0,0.0,0.627,11,255.8
OCR + spaCy receipt de-identification,17,valid,1,11,1,10,0,0.0,0.120,11,255.8
Proposed multimodal mediation,17,valid,1,6,1,5,0,0.0,0.627,11,255.8
Raw OCR text prompt,18,valid,2,0,0,0,2,100.0,1.000,12,273.4
OCR + regex masking,18,valid,2,7,0,7,2,100.0,0.377,12,273.4
OCR + generic de-identification,18,valid,2,7,0,7,2,100.0,0.377,12,273.4
OCR + Presidio receipt de-identification,18,valid,2,7,0,7,2,100.0,0.377,12,273.4
OCR + spaCy receipt de-identification,18,valid,2,10,0,10,2,100.0,0.159,12,273.4
Proposed multimodal mediation,18,valid,2,7,0,7,2,100.0,0.377,12,273.4
Raw OCR text prompt,19,valid,3,0,0,0,3,100.0,1.000,12,555.4
OCR + regex masking,19,valid,3,6,0,6,3,100.0,0.426,12,555.4
