benchmark,split,repeat_index,unit_label,unit_count,mention_count,span_precision,span_recall,span_f1,per_percent,text_retention,mean_prompt_eval_count,mean_eval_count,mean_latency_ms,summary_snapshot,detail_snapshot,runtime_manifest_snapshot,run_log_snapshot
TAB,dev,0,document_count,32,2037,0.52,0.43,0.47,44.9,0.77,1072.3,745.2,25724.1,tab_ollama_zero_shot_results_run00.csv,tab_ollama_zero_shot_document_metrics_run00.csv,tab_ollama_zero_shot_runtime_manifest_run00.csv,tab_ollama_zero_shot_run_log_run00.csv
TAB,dev,1,document_count,32,2037,0.54,0.50,0.52,39.7,0.77,1072.3,747.5,22793.5,tab_ollama_zero_shot_results_run01.csv,tab_ollama_zero_shot_document_metrics_run01.csv,tab_ollama_zero_shot_runtime_manifest_run01.csv,tab_ollama_zero_shot_run_log_run01.csv
TAB,dev,2,document_count,32,2037,0.56,0.47,0.51,46.1,0.80,1072.3,771.5,23402.5,tab_ollama_zero_shot_results_run02.csv,tab_ollama_zero_shot_document_metrics_run02.csv,tab_ollama_zero_shot_runtime_manifest_run02.csv,tab_ollama_zero_shot_run_log_run02.csv
