benchmark,split,repeat_index,unit_label,unit_count,mention_count,span_precision,span_recall,span_f1,per_percent,text_retention,mean_prompt_eval_count,mean_eval_count,mean_latency_ms,summary_snapshot,detail_snapshot,runtime_manifest_snapshot,run_log_snapshot
Synthetic i2b2-Synthea,synthea-dev,0,note_count,32,64,0.20,0.98,0.33,0.3,0.85,175.0,175.1,5292.6,i2b2_ollama_zero_shot_results_run00.csv,i2b2_ollama_zero_shot_document_metrics_run00.csv,i2b2_ollama_zero_shot_runtime_manifest_run00.csv,i2b2_ollama_zero_shot_run_log_run00.csv
Synthetic i2b2-Synthea,synthea-dev,1,note_count,32,64,0.20,0.98,0.33,0.8,0.84,175.0,175.1,5303.1,i2b2_ollama_zero_shot_results_run01.csv,i2b2_ollama_zero_shot_document_metrics_run01.csv,i2b2_ollama_zero_shot_runtime_manifest_run01.csv,i2b2_ollama_zero_shot_run_log_run01.csv
Synthetic i2b2-Synthea,synthea-dev,2,note_count,32,64,0.19,0.98,0.32,0.5,0.85,175.0,163.9,4962.1,i2b2_ollama_zero_shot_results_run02.csv,i2b2_ollama_zero_shot_document_metrics_run02.csv,i2b2_ollama_zero_shot_runtime_manifest_run02.csv,i2b2_ollama_zero_shot_run_log_run02.csv
