setting,seed_count,per_mean,per_std,per_ci95,ac_mean,ac_std,ac_ci95,tsr_mean,tsr_std,tsr_ci95,latency_mean_ms,latency_std_ms,latency_ci95_ms
Enterprise staged redaction,5,8.3507,0.1694,0.1485,0.9171,0.0014,0.0012,0.8957,0.0016,0.0014,32.0333,1.1516,1.0094
Generic de-identification,5,12.7154,0.2134,0.1870,0.7275,0.0021,0.0018,0.7070,0.0021,0.0018,18.3823,1.0147,0.8894
NER-only masking,5,48.9934,0.1768,0.1549,0.9082,0.0018,0.0016,0.8875,0.0019,0.0017,26.5464,0.8256,0.7237
No protection,5,99.9637,0.0588,0.0515,0.9974,0.0018,0.0016,0.9970,0.0018,0.0016,0.2789,0.4100,0.3594
Proposed (semantic abstraction),5,14.8702,0.1444,0.1265,0.8784,0.0013,0.0011,0.8577,0.0015,0.0014,47.8245,0.2500,0.2191
Proposed (utility-constrained),5,9.4644,0.1261,0.1106,0.9377,0.0016,0.0014,0.9168,0.0016,0.0014,40.9783,1.1541,1.0117
Regex-only,5,61.6398,0.3119,0.2734,0.9677,0.0034,0.0030,0.9568,0.0033,0.0029,7.0489,1.1338,0.9939
